Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
43459785, 206035, 36582, 341210, 49421, 230563, 461983, 9953121
44583389, 258233, 38652, 355668, 40481, 238163, 495339, 14790261
39584815, 245269, 33497, 247657, 35539, 21746, 350565, 10850635
44031692, 216083, 38863, 342929, 44060, 215346, 469540, 11744675
44710857, 236160, 43575, 359497, 37169, 199548, 417044, 13646713
40858593, 217281, 39564, 346202, 39449, 219827, 512557, 11560127
42752808, 201873, 35845, 253996, 35111, 21087, 352035, 9793940
45125378, 135517, 20529, 153988, 21463, 11353, 202888, 7240321
47485922, 92407, 17149, 124397, 15837, 84330, 156618, 7287410
48926403, 217491, 38677, 341811, 38572, 230711, 473590, 11381499
42563964, 156853, 32624, 214340, 28149, 16962, 271308, 7360219
47556533, 103581, 16269, 129772, 14394, 83067, 156902, 7497626
48325321, 250758, 37962, 396042, 41794, 220254, 376442, 14444871
28905021, 204958, 38456, 130833, 26159, 189410, 143752, 6820552
48763982, 433850, 18335, 158605, 35052, 338008, 198618, 8755962
45967009, 628957, 119964, 420737, 47444, 347501, 265400, 10120282
44002345, 174109, 37770, 810479, 40857, 202458, 578265, 14362320
38414549, 93548, 16846, 142240, 16383, 9187, 147638, 8081883
36320976, 98622, 17517, 136379, 17890, 129532, 169679, 12380444
31786839, 159339, 16074, 178826, 17118, 213427, 233399, 11605383
32240686, 94745, 17548, 141599, 17269, 9456, 158491, 7221429
59339645, 98861, 17826, 120493, 16203, 131896, 135808, 9165090
35264934, 95813, 17449, 99550, 17158, 212587, 107439, 9684554
34513622, 98743, 19045, 287705, 21077, 13043, 295029, 8917615
34951403, 117565, 18959, 138035, 20427, 154074, 102668, 8707994
36035256, 106206, 18902, 282505, 21952, 116369, 209341, 10129024
33498039, 102977, 18066, 165423, 25537, 11283, 173086, 6623092
38031878, 211201, 34932, 372103, 35996, 181444, 438965, 11945188
31834582, 235913, 38832, 372191, 39063, 208857, 604751, 12593081
41422209, 161639, 28521, 259714, 27382, 145649, 341518, 15786364
40766506, 129779, 22454, 336086, 34812, 153619, 434293, 12293343
42887904, 227614, 39389, 443331, 59935, 215562, 607777, 13839002
39546140, 106456, 17154, 236741, 19420, 162080, 247599, 9893230
34986362, 217401, 38402, 437528, 40842, 270175, 550789, 13665429
40610401, 229955, 45342, 369114, 38473, 316710, 539082, 13761292
95591536, 118016, 21591, 196662, 23917, 114097, 257854, 15200577
39776407, 111421, 20007, 176605, 21536, 204981, 249728, 9992971
45399031, 167425, 30517, 262253, 29444, 141659, 339436, 10202348
44954710, 209338, 38607, 353894, 41448, 176018, 473424, 12894268
41770689, 214986, 36157, 257377, 40211, 24059, 370076, 8564080
46112150, 213217, 37705, 266953, 38843, 81098, 410848, 9043651
45830613, 274771, 39825, 345826, 39579, 176037, 445842, 10679932
43651158, 175576, 32261, 286466, 31936, 143673, 371166, 9657706
45314044, 194782, 35542, 326574, 35083, 183383, 404313, 11845904
42580837, 182107, 32418, 288051, 31796, 141925, 364671, 12448105
42588437, 242717, 35886, 380468, 34491, 157600, 404719, 12226543
42282372, 211303, 38532, 358755, 37816, 20847, 380519, 11090069
43097606, 102823, 16745, 205301, 16284, 70285, 149985, 6791962
37880434, 205722, 34363, 315615, 34398, 154874, 408585, 10592770
32864599, 136465, 25047, 209917, 24703, 106511, 264949, 8735837
35291635, 165394, 30028, 262821, 29202, 133932, 422225, 10717627
32763984, 112940, 20939, 175838, 20948, 94505, 315960, 12954797
31705353, 177076, 33605, 303721, 32785, 159618, 400700, 12503058
30590839, 122311, 22501, 146922, 21942, 11383, 204071, 6073568
38141990, 156479, 31456, 219682, 42520, 20158, 410666, 6465985
37702563, 166608, 38898, 256917, 29905, 176621, 398357, 10292788
33011258, 119436, 22119, 288045, 29491, 144594, 329056, 12625991
33021652, 156614, 29751, 254836, 28799, 213452, 351777, 10882281
32898395, 187287, 30536, 205377, 29731, 14750, 349716, 9409489
34655976, 208838, 35375, 349253, 38737, 169207, 468458, 12060065
42566534, 289378, 39785, 360030, 39088, 175607, 453815, 10447096
43806395, 171266, 29805, 206313, 29497, 14936, 283761, 9038040
35430663, 240463, 35029, 336229, 36733, 189462, 442314, 12126747
41588928, 83665, 15695, 120003, 14221, 71324, 141031, 5850890
38599486, 133444, 25985, 278973, 21951, 105160, 377612, 9169749
34740859, 150048, 26531, 254776, 30197, 123695, 341598, 11531713
43718651, 184176, 35186, 306239, 35150, 154536, 455222, 12217827
42351041, 169849, 30015, 332486, 32573, 140147, 429106, 9747614
45079306, 209739, 39449, 399943, 38452, 169472, 532969, 11306263
43036599, 190782, 35302, 310318, 35752, 157400, 439035, 14245478
